ID	UniProt	lineage	domain	phylum	class	order	family	genus	species
A0A1H7K912|A0A1H7K912_9GAMM/1-167	A0A1H7K912	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Atopomonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Atopomonas	s__
A0A1H8PY54|A0A1H8PY54_9ACTN/1-182	A0A1H8PY54	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Geodermatophilales;f__Geodermatophilaceae;g__Trujillonella;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Geodermatophilales	f__Geodermatophilaceae	g__Trujillonella	s__
A0A1I0GMZ6|A0A1I0GMZ6_9GAMM/1-150	A0A1I0GMZ6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinobacteraceae;g__Marinobacter;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Marinobacteraceae	g__Marinobacter	s__
A0A1I1TIY1|A0A1I1TIY1_9GAMM/1-145	A0A1I1TIY1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiohalospirales;f__Thiohalospiraceae;g__Thiohalospira;s__Thiohalospirahalophila	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiohalospirales	f__Thiohalospiraceae	g__Thiohalospira	s__Thiohalospirahalophila
A0A1I3WJ05|A0A1I3WJ05_9BACL/1-164	A0A1I3WJ05	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Brevibacillus	s__
A0A1N6ESP1|A0A1N6ESP1_9SPHN/1-141	A0A1N6ESP1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Parasphingorhabdus;s__Parasphingorhabdusmarina	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Parasphingorhabdus	s__Parasphingorhabdusmarina
A0A1Q3TIJ7|A0A1Q3TIJ7_9CHLR/14-179	A0A1Q3TIJ7	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__CandidatusChloroheliales;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__CandidatusChloroheliales	f__	g__	s__
A0A1V5LPK8|A0A1V5LPK8_9BACT/1-133	A0A1V5LPK8	d__Bacteria;p__;c__;o__;f__;g__;s__	d__Bacteria	p__	c__	o__	f__	g__	s__
A0A1Y2JYJ5|A0A1Y2JYJ5_BRAJP/1-110	A0A1Y2JYJ5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__
A0A1Y2LJL6|A0A1Y2LJL6_9PROT/1-150	A0A1Y2LJL6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassospiraceae;g__Thalassospira;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Thalassospiraceae	g__Thalassospira	s__
A0A1Y5T547|A0A1Y5T547_9PROT/1-164	A0A1Y5T547	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__Oceanibacterium;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sneathiellales	f__Sneathiellaceae	g__Oceanibacterium	s__
A0A1Z3HMD4|A0A1Z3HMD4_9CYAN/1-152	A0A1Z3HMD4	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nodosilineales;f__Nodosilineaceae;g__Halomicronema;s__Halomicronemahongdechloris	d__Bacteria	p__Cyanobacteriota	c__Cyanophyceae	o__Nodosilineales	f__Nodosilineaceae	g__Halomicronema	s__Halomicronemahongdechloris
A0A1Z4KSY1|A0A1Z4KSY1_ANAVA/1-150	A0A1Z4KSY1	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Nostocaceae;g__Trichormus;s__Anabaenavariabilis	d__Bacteria	p__Cyanobacteriota	c__Cyanophyceae	o__Nostocales	f__Nostocaceae	g__Trichormus	s__Anabaenavariabilis
A0A1Z7WX32|A0A1Z7WX32_9GAMM/1-164	A0A1Z7WX32	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Methylophaga;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Piscirickettsiaceae	g__Methylophaga	s__
A0A239FA11|A0A239FA11_EKHLU/4-151	A0A239FA11	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Reichenbachiellaceae;g__Ekhidna;s__	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Reichenbachiellaceae	g__Ekhidna	s__
A0A261GQF7|A0A261GQF7_9GAMM/1-158	A0A261GQF7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Hahellaceae;g__Hahella;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Hahellaceae	g__Hahella	s__
A0A2A4RWF6|A0A2A4RWF6_9HYPH/1-144	A0A2A4RWF6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodobiaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Rhodobiaceae	g__	s__
A0A2A4VSQ5|A0A2A4VSQ5_9PROT/1-133	A0A2A4VSQ5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kordiimonadales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Kordiimonadales	f__	g__	s__
A0A2A4X5E8|A0A2A4X5E8_9GAMM/1-143	A0A2A4X5E8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A2D5ATH8|A0A2D5ATH8_UNCPL/1-137	A0A2D5ATH8	d__Bacteria;p__Planctomycetota;c__;o__;f__;g__;s__	d__Bacteria	p__Planctomycetota	c__	o__	f__	g__	s__
A0A2D5EP15|A0A2D5EP15_UNCMY/1-154	A0A2D5EP15	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__;g__;s__	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__	g__	s__
A0A2D6BKV1|A0A2D6BKV1_UNCDE/1-152	A0A2D6BKV1	d__Bacteria;p__Myxococcota;c__Myxococcia;o__;f__;g__;s__	d__Bacteria	p__Myxococcota	c__Myxococcia	o__	f__	g__	s__
A0A2D6L013|A0A2D6L013_UNCAC/1-148	A0A2D6L013	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
A0A2D6Q0S0|A0A2D6Q0S0_UNCPL/1-150	A0A2D6Q0S0	d__Bacteria;p__Planctomycetota;c__;o__;f__;g__;s__	d__Bacteria	p__Planctomycetota	c__	o__	f__	g__	s__
A0A2D9JRT1|A0A2D9JRT1_9GAMM/1-173	A0A2D9JRT1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A2E0EME2|A0A2E0EME2_9RICK/1-166	A0A2E0EME2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rickettsiales	f__	g__	s__
A0A2E0YX76|A0A2E0YX76_9GAMM/1-161	A0A2E0YX76	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__Halioglobus;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Cellvibrionales	f__Halieaceae	g__Halioglobus	s__
A0A2E1TMU8|A0A2E1TMU8_9GAMM/1-145	A0A2E1TMU8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A2E1XAA8|A0A2E1XAA8_9PROT/1-145	A0A2E1XAA8	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae;g__Parvularcula;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Parvularculales	f__Parvularculaceae	g__Parvularcula	s__
A0A2E4I7S7|A0A2E4I7S7_9PROT/1-147	A0A2E4I7S7	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__
A0A2E4N2K1|A0A2E4N2K1_UNCGE/13-161	A0A2E4N2K1	d__Bacteria;p__Gemmatimonadota;c__;o__;f__;g__;s__	d__Bacteria	p__Gemmatimonadota	c__	o__	f__	g__	s__
A0A2E5M4D6|A0A2E5M4D6_9GAMM/1-141	A0A2E5M4D6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A2E6LP97|A0A2E6LP97_9GAMM/1-153	A0A2E6LP97	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A2E6QEI6|A0A2E6QEI6_9PROT/1-168	A0A2E6QEI6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__
A0A2E7EN78|A0A2E7EN78_9PLAN/9-163	A0A2E7EN78	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
A0A2E7GFP8|A0A2E7GFP8_9BACT/1-150	A0A2E7GFP8	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Pseudobdellovibrionaceae;g__;s__	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Pseudobdellovibrionaceae	g__	s__
A0A2E7HIQ4|A0A2E7HIQ4_9PROT/1-124	A0A2E7HIQ4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__
A0A2E8K8R8|A0A2E8K8R8_9GAMM/1-132	A0A2E8K8R8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A2E8RSL2|A0A2E8RSL2_9BACT/1-142	A0A2E8RSL2	d__Bacteria;p__CandidatusPoribacteria;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusPoribacteria	c__	o__	f__	g__	s__
A0A2E9JA34|A0A2E9JA34_9ACTN/1-147	A0A2E9JA34	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__;s__	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__	s__
A0A2E9QE58|A0A2E9QE58_9SPIO/1-183	A0A2E9QE58	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__;s__	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Spirochaetales	f__Spirochaetaceae	g__	s__
A0A2G2HVJ8|A0A2G2HVJ8_9PROT/1-145	A0A2G2HVJ8	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Maricaulales;f__Robiginitomaculaceae;g__Robiginitomaculum;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Maricaulales	f__Robiginitomaculaceae	g__Robiginitomaculum	s__
A0A2K9NVZ3|A0A2K9NVZ3_BACTC/1-141	A0A2K9NVZ3	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax;s__	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__Bacteriovorax	s__
A0A2M7G0U9|A0A2M7G0U9_9BACT/1-145	A0A2M7G0U9	d__Bacteria;p__CandidatusBlackallbacteria;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusBlackallbacteria	c__	o__	f__	g__	s__
A0A2M9B5D4|A0A2M9B5D4_9BACT/3-192	A0A2M9B5D4	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__Hymenobacterchitinivorans	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Hymenobacteraceae	g__Hymenobacter	s__Hymenobacterchitinivorans
A0A2N1V8B9|A0A2N1V8B9_9BACT/1-165	A0A2N1V8B9	d__Bacteria;p__Ignavibacteriota;c__;o__;f__;g__;s__	d__Bacteria	p__Ignavibacteriota	c__	o__	f__	g__	s__
A0A2N3YL89|A0A2N3YL89_9MICO/5-177	A0A2N3YL89	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Intrasporangiaceae;g__Phycicoccus;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Intrasporangiaceae	g__Phycicoccus	s__
A0A2P5LEZ9|A0A2P5LEZ9_9GAMM/1-143	A0A2P5LEZ9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylobacter;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylobacter	s__
A0A2S2CZ01|A0A2S2CZ01_9PROT/1-170	A0A2S2CZ01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Azospirillum;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Azospirillaceae	g__Azospirillum	s__
A0A2S5QRP0|A0A2S5QRP0_9GAMM/1-162	A0A2S5QRP0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylobacter;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylobacter	s__
A0A2S5TCM8|A0A2S5TCM8_9GAMM/1-161	A0A2S5TCM8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Solimonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Solimonas	s__
A0A2T2VAB7|A0A2T2VAB7_9BACT/15-180	A0A2T2VAB7	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__	d__Bacteria	p__Bacteroidota	c__	o__	f__	g__	s__
A0A2T5Y7H7|A0A2T5Y7H7_9BACT/61-201	A0A2T5Y7H7	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Pontibacter;s__	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Hymenobacteraceae	g__Pontibacter	s__
A0A2U2BSF4|A0A2U2BSF4_9PROT/1-146	A0A2U2BSF4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Maricaulales;f__Maricaulaceae;g__Marinicauda;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Maricaulales	f__Maricaulaceae	g__Marinicauda	s__
A0A2V6DM59|A0A2V6DM59_9BACT/1-140	A0A2V6DM59	d__Bacteria;p__Verrucomicrobiota;c__;o__;f__;g__;s__	d__Bacteria	p__Verrucomicrobiota	c__	o__	f__	g__	s__
A0A2V6WXI5|A0A2V6WXI5_9BACT/40-199	A0A2V6WXI5	d__Bacteria;p__CandidatusRokuibacteriota;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusRokuibacteriota	c__	o__	f__	g__	s__
A0A2V7B0V5|A0A2V7B0V5_9BACT/1-129	A0A2V7B0V5	d__Bacteria;p__CandidatusRokuibacteriota;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusRokuibacteriota	c__	o__	f__	g__	s__
A0A2V7HDH2|A0A2V7HDH2_9BACT/2-160	A0A2V7HDH2	d__Bacteria;p__CandidatusRokuibacteriota;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusRokuibacteriota	c__	o__	f__	g__	s__
A0A2V7M7B9|A0A2V7M7B9_UNCGE/15-165	A0A2V7M7B9	d__Bacteria;p__Gemmatimonadota;c__;o__;f__;g__;s__	d__Bacteria	p__Gemmatimonadota	c__	o__	f__	g__	s__
A0A2V7ZAX7|A0A2V7ZAX7_9BACT/1-148	A0A2V7ZAX7	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	d__Bacteria	p__Acidobacteriota	c__	o__	f__	g__	s__
A0A2V8SVD8|A0A2V8SVD8_9BACT/5-198	A0A2V8SVD8	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	d__Bacteria	p__Acidobacteriota	c__	o__	f__	g__	s__
A0A2V8TEW0|A0A2V8TEW0_9BACT/1-139	A0A2V8TEW0	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	d__Bacteria	p__Acidobacteriota	c__	o__	f__	g__	s__
A0A2V9CMA9|A0A2V9CMA9_9BACT/5-160	A0A2V9CMA9	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	d__Bacteria	p__Acidobacteriota	c__	o__	f__	g__	s__
A0A2V9YRC0|A0A2V9YRC0_9BACT/1-141	A0A2V9YRC0	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	d__Bacteria	p__Acidobacteriota	c__	o__	f__	g__	s__
A0A2W5X716|A0A2W5X716_9BACT/1-134	A0A2W5X716	d__Bacteria;p__Vulcanimicrobiota;c__;o__;f__;g__;s__	d__Bacteria	p__Vulcanimicrobiota	c__	o__	f__	g__	s__
A0A2W5YM44|A0A2W5YM44_9BACT/61-208	A0A2W5YM44	d__Bacteria;p__Vulcanimicrobiota;c__Vulcanimicrobiia;o__CandidatusEremiobacterales;f__CandidatusEremiobacteraceae;g__CandidatusEremiobacter;s__	d__Bacteria	p__Vulcanimicrobiota	c__Vulcanimicrobiia	o__CandidatusEremiobacterales	f__CandidatusEremiobacteraceae	g__CandidatusEremiobacter	s__
A0A2W6D4L8|A0A2W6D4L8_9PSEU/1-154	A0A2W6D4L8	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Pseudonocardiales	f__	g__	s__
A0A2W7RI22|A0A2W7RI22_9BACT/1-153	A0A2W7RI22	d__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__	d__Bacteria	p__Bacteroidota	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Hydrotalea	s__
